,iter,overall,complex_contacts,binder_pLDDT,RMSD
0,1,-15.963824401851818,-17.548273250034875,-8.130968521401831,9.71541736958489
1,2,-17.266381227150084,-17.71926642826625,-8.199121701909254,8.652006903025418
2,3,-18.22172459408959,-19.108134555816648,-8.71704394393221,9.603453905659267
